Label,Name,Index,X,Y
IMG_4765_roi-1,MB,0,2134,2101
IMG_4765_roi-1,MB,0,2122,1927
IMG_4765_roi-1,MB,0,2116,1513
IMG_4765_roi-1,MB,0,2118,1343
IMG_4765_roi-1,MB,0,2104,1327
IMG_4765_roi-1,MB,0,2114,1111
IMG_4765_roi-1,MB,0,2106,1037
IMG_4765_roi-1,MB,0,2072,955
IMG_4765_roi-1,MB,0,2062,827
IMG_4765_roi-1,MB,0,2062,691
IMG_4765_roi-1,MB,0,2042,641
IMG_4765_roi-2,SB1,1,2136,2045
IMG_4765_roi-2,SB1,1,2220,1943
IMG_4765_roi-2,SB1,1,2258,1601
IMG_4765_roi-2,SB1,1,2266,1455
IMG_4765_roi-2,SB1,1,2248,1239
IMG_4765_roi-2,SB1,1,2224,1101
IMG_4765_roi-2,SB1,1,2240,881
IMG_4765_roi-3,SB2,2,2134,2045
IMG_4765_roi-3,SB2,2,2096,2051
IMG_4765_roi-3,SB2,2,2030,1901
IMG_4765_roi-3,SB2,2,1952,1563
IMG_4765_roi-3,SB2,2,1902,1269
IMG_4765_roi-3,SB2,2,1908,1269
IMG_4765_roi-3,SB2,2,1892,1095
IMG_4765_roi-3,SB2,2,1864,1095
IMG_4765_roi-3,SB2,2,1868,999
IMG_4765_roi-4,SB3,3,2118,1889
IMG_4765_roi-4,SB3,3,2192,1843
IMG_4765_roi-4,SB3,3,2268,1767
IMG_4765_roi-4,SB3,3,2326,1667
IMG_4765_roi-4,SB3,3,2362,1585
IMG_4765_roi-4,SB3,3,2348,1343
IMG_4765_roi-4,SB3,3,2348,1175
IMG_4765_roi-4,SB3,3,2310,1021
IMG_4765_roi-4,SB3,3,2258,913
IMG_4765_roi-5,SB4,4,2128,1823
IMG_4765_roi-5,SB4,4,2054,1793
IMG_4765_roi-5,SB4,4,1988,1633
IMG_4765_roi-5,SB4,4,1968,1471
IMG_4765_roi-5,SB4,4,1956,1251
IMG_4765_roi-5,SB4,4,1924,1131
IMG_4765_roi-5,SB4,4,1952,1061
IMG_4765_roi-5,SB4,4,1982,961
IMG_4765_roi-5,SB4,4,1944,825
IMG_4765_roi-6,SB5,5,2118,1763
IMG_4765_roi-6,SB5,5,2202,1685
IMG_4765_roi-6,SB5,5,2280,1497
IMG_4765_roi-6,SB5,5,2288,1335
IMG_4765_roi-6,SB5,5,2264,1177
IMG_4765_roi-6,SB5,5,2248,1037
IMG_4765_roi-6,SB5,5,2198,983
IMG_4765_roi-6,SB5,5,2194,933
IMG_4765_roi-7,SB6,6,2122,1645
IMG_4765_roi-7,SB6,6,2170,1571
IMG_4765_roi-7,SB6,6,2202,1397
IMG_4765_roi-7,SB6,6,2236,1265
IMG_4765_roi-7,SB6,6,2260,1101
IMG_4765_roi-7,SB6,6,2298,1013
IMG_4765_roi-7,SB6,6,2280,981
IMG_4765_roi-8,SB7,7,2130,1787
IMG_4765_roi-8,SB7,7,2056,1605
IMG_4765_roi-8,SB7,7,2046,1415
IMG_4765_roi-8,SB7,7,2056,1281
IMG_4765_roi-8,SB7,7,2048,1211
IMG_4765_roi-8,SB7,7,2082,1125
IMG_4765_roi-8,SB7,7,2108,1103
IMG_4765_roi-9,SB8,8,2116,1791
IMG_4765_roi-9,SB8,8,2218,1705
IMG_4765_roi-9,SB8,8,2300,1671
IMG_4765_roi-9,SB8,8,2316,1593
IMG_4765_roi-9,SB8,8,2314,1475
